1 10 0.001569
1 20 0.006254
2 10 0.001482
2 20 0.003787
3 10 0.001405
3 20 0.003077
4 10 0.001465
4 20 0.002192
5 10 0.001366
5 20 0.002341
6 10 0.001680
6 20 0.002486
7 10 0.001792
7 20 0.002311
8 10 0.001884
8 20 0.002609
1 50 0.069431
1 100 0.511595
1 200 5.671752
1 300 19.170292
1 400 45.046252
1 500 89.757486
2 50 0.035874
2 100 0.257589
2 200 3.042876
2 300 11.593608
2 400 23.021228
2 500 45.562731
3 50 0.024876
3 100 0.178016
3 200 2.407197
3 300 7.903686
3 400 18.795136
3 500 37.924992
4 50 0.019978
4 100 0.133294
4 200 1.712917
4 300 5.464071
4 400 13.106693
4 500 25.677627
5 50 0.016344
5 100 0.109174
5 200 1.510745
5 300 5.056870
5 400 11.927717
5 500 25.151026
6 50 0.014584
6 100 0.094414
6 200 1.287022
6 300 3.829500
6 400 8.924806
6 500 18.423749
7 50 0.013422
7 100 0.083703
7 200 1.265965
7 300 3.859678
7 400 9.146722
7 500 19.297855
8 50 0.012312
8 100 0.073350
8 200 1.191296
8 300 3.212327
8 400 7.567401
8 500 15.444201
