1 10 0.001512
1 20 0.012448
2 10 0.003226
2 20 0.016797
3 10 0.002772
3 20 0.012977
4 10 0.002727
4 20 0.010390
5 10 0.002194
5 20 0.009786
6 10 0.002655
6 20 0.009103
7 10 0.002534
7 20 0.008290
8 10 0.002695
8 20 0.008568
1 50 0.144649
1 100 1.024982
1 200 7.737423
1 300 25.500033
1 400 59.799425
1 500 116.157024
2 50 0.150201
2 100 0.986658
2 200 6.812353
2 300 23.216876
2 400 44.794225
2 500 93.716728
3 50 0.121559
3 100 0.657932
3 200 3.832556
3 300 13.312941
3 400 29.001781
3 500 59.258959
4 50 0.090166
4 100 0.605542
4 200 3.206447
4 300 9.376911
4 400 20.914697
4 500 42.587010
5 50 0.073272
5 100 0.489850
5 200 2.572691
5 300 7.924650
5 400 17.588592
5 500 34.157356
6 50 0.059710
6 100 0.362826
6 200 2.225511
6 300 7.119504
6 400 14.988370
6 500 27.947947
7 50 0.052838
7 100 0.331306
7 200 1.693845
7 300 5.911006
7 400 13.658103
7 500 24.767854
8 50 0.050726
8 100 0.324011
8 200 1.751925
8 300 5.513864
8 400 10.677644
8 500 24.538477
