     2.344    925.825 # matmult_blk 1024
     5.273   1795.804 # matmult_blk 1024
     9.375   2881.066 # matmult_blk 1024
    28.711   3810.376 # matmult_blk 1024
    58.594   5154.448 # matmult_blk 1024
   131.836   4988.495 # matmult_blk 1024
   234.375   6878.621 # matmult_blk 1024
   527.344   6436.561 # matmult_blk 1024
   937.500   6537.390 # matmult_blk 1024
  2109.375   6435.949 # matmult_blk 1024
  5859.375   6494.698 # matmult_blk 1024
 13183.594   6436.194 # matmult_blk 1024
 23437.500   6563.411 # matmult_blk 1024
 45937.500   5829.967 # matmult_blk 1024
 75937.500   5976.762 # matmult_blk 1024
 93750.000   6030.005 # matmult_blk 1024
123984.375   5871.182 # matmult_blk 1024
146484.375   5917.034 # matmult_blk 1024
210937.500   6027.664 # matmult_blk 1024
